99879,JPR
98274,JPR
96425,JPR
95940,JPR
94811,JPR
93718,JPR
89616,JPR
89398,JPR
88787,JPR
87617,JPR
85206,JPR
82262,JPR
81480,JPR
77232,JPR
76884,JPR
76056,JPR
66523,JPR
65665,JPR
63384,JPR
62085,JPR
61534,JPR
60737,JPR
58708,JPR
58050,JPR
57471,JPR
55046,JPR
54870,JPR
52323,JPR
52121,JPR
50628,JPR
44827,JPR
43407,JPR
41327,JPR
36953,JPR
31824,JPR
28787,JPR
27664,JPR
26175,JPR
25111,JPR
23727,JPR
22912,JPR
21828,JPR
20509,JPR
19571,JPR
15431,JPR
11383,JPR
11080,JPR
10010,JPR
8500,JPR
8217,JPR
6152,JPR
5379,JPR
3322,JPR
2724,JPR
2453,JPR
2146,JPR
1046,JPR
